Time,Global Mean Sea Level
7/15/1922,-111.3
8/15/1922,-114.7
9/15/1922,-116.4
10/15/1922,-112.5
11/15/1922,-106.6
12/15/1922,-103.2
1/15/1923,-104.6
2/15/1923,-109.2
3/15/1923,-107.9
4/15/1923,-103.6
5/15/1923,-99.3
6/15/1923,-101.9
7/15/1923,-107.5
8/15/1923,-110.5
9/15/1923,-110.5
10/15/1923,-109.7
11/15/1923,-113.9
12/15/1923,-116.7
1/15/1924,-118
2/15/1924,-112.7
3/15/1924,-113.4
4/15/1924,-111.8
5/15/1924,-115.2
6/15/1924,-115.3
7/15/1924,-116.8
8/15/1924,-116.1
9/15/1924,-115.6
10/15/1924,-115.7
11/15/1924,-117
12/15/1924,-115.2
1/15/1925,-112.3
2/15/1925,-110.6
3/15/1925,-112.5
4/15/1925,-115.3
5/15/1925,-114.8
6/15/1925,-115
7/15/1925,-115.3
8/15/1925,-116.3
9/15/1925,-115
10/15/1925,-112.9
11/15/1925,-110.9
12/15/1925,-107.4
1/15/1926,-111.3
2/15/1926,-112.2
3/15/1926,-115.4
4/15/1926,-112.3
5/15/1926,-110.3
6/15/1926,-107.7
7/15/1926,-104.5
8/15/1926,-97.9
9/15/1926,-97.2
10/15/1926,-96.3
11/15/1926,-105.8
12/15/1926,-109.4
1/15/1927,-113.4
2/15/1927,-109.1
3/15/1927,-107.2
4/15/1927,-104.9
5/15/1927,-105.3
6/15/1927,-104.5
7/15/1927,-106.3
8/15/1927,-103.7
9/15/1927,-109.6
10/15/1927,-106.9
11/15/1927,-110.7
12/15/1927,-111.5
1/15/1928,-117.7
2/15/1928,-117.6
3/15/1928,-115.7
4/15/1928,-110.4
5/15/1928,-108.9
6/15/1928,-106.3
7/15/1928,-106
8/15/1928,-105.6
9/15/1928,-106.1
10/15/1928,-111.2
11/15/1928,-115.6
12/15/1928,-118.7
1/15/1929,-120.8
2/15/1929,-115.8
3/15/1929,-113.3
4/15/1929,-107.4
5/15/1929,-109.9
6/15/1929,-106.1
7/15/1929,-106
8/15/1929,-106.4
9/15/1929,-107
10/15/1929,-109.4
11/15/1929,-109.2
12/15/1929,-112.1
1/15/1930,-110.8
2/15/1930,-112.3
3/15/1930,-112.3
4/15/1930,-114.3
5/15/1930,-112.7
6/15/1930,-105.7
7/15/1930,-98.2
8/15/1930,-96.1
9/15/1930,-98.5
10/15/1930,-101.5
11/15/1930,-105.6
12/15/1930,-107.8
1/15/1931,-106.9
2/15/1931,-109.1
3/15/1931,-106.6
4/15/1931,-108.5
5/15/1931,-106.4
6/15/1931,-105.9
7/15/1931,-101.9
8/15/1931,-103.7
9/15/1931,-106
10/15/1931,-109
11/15/1931,-109.9
12/15/1931,-106.5
1/15/1932,-104.1
2/15/1932,-100.8
3/15/1932,-101.8
4/15/1932,-100.5
5/15/1932,-102.2
6/15/1932,-102.3
7/15/1932,-101.5
8/15/1932,-102.9
9/15/1932,-100.3
10/15/1932,-100.7
11/15/1932,-98.2
12/15/1932,-97.1
1/15/1933,-93.8
2/15/1933,-93
3/15/1933,-92.4
4/15/1933,-92.6
5/15/1933,-95.2
6/15/1933,-94.5
7/15/1933,-99
8/15/1933,-97.7
9/15/1933,-99
10/15/1933,-98.7
11/15/1933,-102.2
12/15/1933,-102.2
1/15/1934,-101.5
2/15/1934,-99.1
3/15/1934,-96.7
4/15/1934,-97.8
5/15/1934,-98.7
6/15/1934,-102.7
7/15/1934,-103.3
8/15/1934,-107.3
9/15/1934,-105.8
10/15/1934,-108.5
11/15/1934,-102.6
12/15/1934,-100.5
1/15/1935,-95.5
2/15/1935,-93.3
3/15/1935,-92.9
4/15/1935,-91.7
5/15/1935,-95
6/15/1935,-94.3
7/15/1935,-95.3
8/15/1935,-96.1
9/15/1935,-98.4
10/15/1935,-101.3
11/15/1935,-102.8
12/15/1935,-101
1/15/1936,-97.1
2/15/1936,-94.7
3/15/1936,-99.2
4/15/1936,-102.5
5/15/1936,-104.4
6/15/1936,-101.9
7/15/1936,-102.9
8/15/1936,-100.9
9/15/1936,-103.6
10/15/1936,-99.3
11/15/1936,-100.6
12/15/1936,-97.6
1/15/1937,-98.9
2/15/1937,-93.9
3/15/1937,-95.5
4/15/1937,-93.5
5/15/1937,-94.9
6/15/1937,-96.9
7/15/1937,-96.6
8/15/1937,-97.4
9/15/1937,-93.9
10/15/1937,-93.4
11/15/1937,-91.5
12/15/1937,-89.9
1/15/1938,-87.7
2/15/1938,-86.4
3/15/1938,-85.9
4/15/1938,-88
5/15/1938,-93.7
6/15/1938,-96.8
7/15/1938,-101.3
8/15/1938,-97.8
9/15/1938,-96.1
10/15/1938,-90.7
11/15/1938,-89.9
12/15/1938,-90.6
1/15/1939,-90
2/15/1939,-94.4
3/15/1939,-91.8
4/15/1939,-89.7
5/15/1939,-84.4
6/15/1939,-77.7
7/15/1939,-77.6
8/15/1939,-80.4
9/15/1939,-86.9
10/15/1939,-91
11/15/1939,-89.4
12/15/1939,-89.2
1/15/1940,-88.3
2/15/1940,-89.5
3/15/1940,-91.2
4/15/1940,-95.9
5/15/1940,-96.6
6/15/1940,-101
7/15/1940,-99.1
8/15/1940,-96.2
9/15/1940,-92.2
10/15/1940,-87.9
11/15/1940,-84.7
12/15/1940,-83.7
1/15/1941,-84.4
2/15/1941,-81.2
3/15/1941,-80.8
4/15/1941,-79.4
5/15/1941,-81.3
6/15/1941,-81.3
7/15/1941,-78.3
8/15/1941,-73.9
9/15/1941,-74.4
10/15/1941,-77.8
11/15/1941,-83.5
12/15/1941,-83.6
1/15/1942,-85.2
2/15/1942,-84.2
3/15/1942,-85.5
4/15/1942,-86
5/15/1942,-84.8
6/15/1942,-81.8
7/15/1942,-78.4
8/15/1942,-75.4
9/15/1942,-73.5
10/15/1942,-74.4
11/15/1942,-74.5
12/15/1942,-76.9
1/15/1943,-74.4
2/15/1943,-73.6
3/15/1943,-74.1
4/15/1943,-74.3
5/15/1943,-78.4
6/15/1943,-78.2
7/15/1943,-82.3
8/15/1943,-82.8
9/15/1943,-84.2
10/15/1943,-84.9
11/15/1943,-86.1
12/15/1943,-86.7
1/15/1944,-83.2
2/15/1944,-77.1
3/15/1944,-74.4
4/15/1944,-79
5/15/1944,-86.3
6/15/1944,-92.1
7/15/1944,-94.9
8/15/1944,-95.1
9/15/1944,-93.2
10/15/1944,-90.2
11/15/1944,-86.5
12/15/1944,-85.3
1/15/1945,-84.3
2/15/1945,-84.6
3/15/1945,-85.4
4/15/1945,-84.1
5/15/1945,-82.8
6/15/1945,-78.8
7/15/1945,-82.8
8/15/1945,-83
9/15/1945,-87.3
10/15/1945,-84.8
11/15/1945,-84.5
12/15/1945,-81.2
1/15/1946,-82.3
2/15/1946,-78.4
3/15/1946,-79.2
4/15/1946,-75.3
5/15/1946,-72.8
6/15/1946,-69.8
7/15/1946,-68.5
8/15/1946,-71
9/15/1946,-74.9
10/15/1946,-78.4
11/15/1946,-81
12/15/1946,-81.7
1/15/1947,-82.3
2/15/1947,-80.1
3/15/1947,-77.5
4/15/1947,-79.8
5/15/1947,-79.2
6/15/1947,-77.2
7/15/1947,-74.5
8/15/1947,-71.9
9/15/1947,-68.5
10/15/1947,-64
11/15/1947,-59.3
12/15/1947,-61
1/15/1948,-63.9
2/15/1948,-68.4
3/15/1948,-70.5
4/15/1948,-70.5
5/15/1948,-69.2
6/15/1948,-69.3
7/15/1948,-67.7
8/15/1948,-69.7
9/15/1948,-68.3
10/15/1948,-68.7
11/15/1948,-66.8
12/15/1948,-65.6
1/15/1949,-64
2/15/1949,-63.6
3/15/1949,-67.2
4/15/1949,-69.8
5/15/1949,-71.9
6/15/1949,-72.2
7/15/1949,-73.3
8/15/1949,-72
9/15/1949,-73.4
10/15/1949,-69.7
11/15/1949,-69.2
12/15/1949,-67.7
1/15/1950,-69.6
2/15/1950,-70.8
3/15/1950,-70.9
4/15/1950,-68.8
5/15/1950,-68.3
6/15/1950,-67.9
7/15/1950,-68.5
8/15/1950,-69.2
9/15/1950,-67.5
10/15/1950,-64.7
11/15/1950,-61.9
12/15/1950,-59.5
1/15/1951,-60.9
2/15/1951,-56.9
3/15/1951,-51.6
4/15/1951,-51
5/15/1951,-50.7
6/15/1951,-55.8
7/15/1951,-59.4
8/15/1951,-63
9/15/1951,-61.7
10/15/1951,-61.6
11/15/1951,-59.8
12/15/1951,-61.6
1/15/1952,-62.2
2/15/1952,-62.7
3/15/1952,-64.4
4/15/1952,-64.2
5/15/1952,-63.6
6/15/1952,-61.1
7/15/1952,-62.2
8/15/1952,-61.4
9/15/1952,-59.1
10/15/1952,-57.8
11/15/1952,-53.2
12/15/1952,-52.7
1/15/1953,-53.1
2/15/1953,-56
